ISBN13,Role,Name
9780753453049,Author,Tony Mitton
9780753453049,Illustrator,Ant Parker
9781423119913,Author,Mo Willems
9781406365634,Author,Michael Rosen
9781406365634,Illustrator,Helen Oxenbury
9781405282727,Author,Julia Donaldson
9781405282727,Illustrator,Sebastien Braun
9780316789721,Author,Ed Emberley
9781407136271,Author,Julia Donaldson
9781407136271,Illustrator,Axel Scheffler
9781474921268,Author,Mairi Mackinnon
9780316085274,Author,Cressida Cowell
9781780551661,Author,Chris Dickason
9781405273305,Author,Farshore
9780735812994,Author,Marcus Pfister
9780859530125,Author,Audrey Wood
9780859530125,Illustrator,Don Wood
9780141329949,Author,Eric Carle
9780394873336,Author,Stan Berenstain
9780394873336,IllustratorAuthor,Jan Berenstain
9780736420969,Author,Rh Disney
9780746073681,Author,Fiona Watt
9780746073681,Illustrator,Rachel Wells
9780803718753,Author,Keith Faulkner
9780803718753,Illustrator,Jonathan Lambert
9780763617127,Author,Lucy Cousins
9780140569896,Author,Eric Carle
9781406340099,Author,Mo Willems
9780857635624,Illustrated by,Marion Billet
9781423199571,Author,Mo Willems
9780746097045,Author,Fiona Watt
9780746097045,Illustrator,Rachel Wells
9781849154215,Author,Roger Priddy
9781406305869,Author,Martin Handford
9781933718774,Author,Audrey Penn
9781933718774,Illustrator,Barbara Gibson
9780723281573,Author,Ladybird
9780007169979,Author,Dr. Seuss
9780007169979,Illustrator,Roy McKie
9780333710920,Author,Julia Donaldson
9780333710920,Illustrator,Axel Scheffler
9780843183535,Author,Mad Libs
9781406347517,Author,Jon Klassen
9780723273462,Author,Allan Ahlberg
9780723273462,IllustratorAuthor,Janet Ahlberg
9780486418360,Author,Cathy Beylon
9781444933796,Author,Kes Gray
9781444933796,Illustrator,Jim Field
9781409313748,Author,Amanda Li
9780140500486,Author,Elfrida Vipont
9780140500486,IllustratorAuthor,Raymond Briggs
9780545253079,Author,Geronimo Stilton
9781509804771,Author,Julia Donaldson
9781509804771,Illustrator,Axel Scheffler
9780553522778,Author,Golden Books
9780553522778,Illustrator,Fabrizio Petrossi
9780140569216,Author,Giles Andreae
9780140569216,Illustrator,Russell Ayto
9781847383747,Author,Robert Sabuda
9780007455935,Author,Dr. Seuss
9781409599128,Author,Anna Milbourne
9781409599128,Illustrator,Julia Sarda Portabel
9780807588970,Author,Cornelia Spelman
9781575423166,Author,Elizabeth Verdick
9781575423166,Illustrator,Marieka Heinlen
9780141321059,Author,Jack London
9780141321059,IllustratorIntroduction by,Melvin Burgess
9781853261220,Author,Kenneth Grahame
9781853261220,IllustratorIntroduction by,A. A. Milne
9781853261220,Illustrator,Arthur Rackham
9780007312528,Author,Meomi
9781406305876,Author,Martin Handford
9781780553146,Author,Lauren Farnsworth
9781780553146,Illustrator,Chris Dickason
9780723264149,Author,Eric Hill
9781408324387,Author,Giles Andreae
